"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],","Northing[m], CH-1",".0m, CH-0.5m,","Quality,",S,"at,",HDO,"P, Time, Date",
705053.749,3621618.759,107.695,82.266,2,8,1.5,32:49.6,11/29/2018
705053.51,3621618.343,108.633,81.875,2,8,1.5,32:49.8,11/29/2018
705053.256,3621617.902,108.867,81.055,2,8,1.5,32:49.9,11/29/2018
705053.016,3621617.486,106.289,78.086,2,8,1.5,32:50.1,11/29/2018
705052.734,3621616.997,101.797,73.125,2,8,1.5,32:50.3,11/29/2018
705052.44,3621616.481,101.445,73.398,2,8,1.5,32:50.5,11/29/2018
705052.111,3621615.894,102.07,73.359,2,8,1.5,32:50.7,11/29/2018
705051.894,3621615.507,102.5,74.531,2,8,1.5,32:50.9,11/29/2018
705051.623,3621615.023,103.281,76.602,2,8,1.5,32:51.1,11/29/2018
705051.323,3621614.486,103.984,76.211,2,8,1.5,32:51.3,11/29/2018
705051.07,3621614.034,103.516,74.883,2,8,1.5,32:51.5,11/29/2018
705050.749,3621613.471,103.633,75.156,2,8,1.5,32:51.7,11/29/2018
705050.435,3621612.92,103.125,75.117,2,8,1.5,32:51.9,11/29/2018
705050.157,3621612.432,103.789,75.273,2,8,1.5,32:52.0,11/29/2018
705049.817,3621611.836,103.047,75.273,2,8,1.5,32:52.2,11/29/2018
705049.571,3621611.404,103.711,75.352,2,8,1.5,32:52.4,11/29/2018
705049.172,3621610.704,103.516,74.492,2,8,1.5,32:52.6,11/29/2018
705048.929,3621610.278,103.203,74.531,2,8,1.5,32:52.8,11/29/2018
705048.508,3621609.54,103.906,75.938,2,8,1.5,32:53.0,11/29/2018
705048.282,3621609.143,105.234,77.812,2,8,1.5,32:53.2,11/29/2018
705047.998,3621608.644,106.953,79.336,2,8,1.5,32:53.4,11/29/2018
705047.661,3621608.057,107.891,79.766,2,8,1.5,32:53.5,11/29/2018
705047.285,3621607.409,108.555,78.398,2,8,1.5,32:53.8,11/29/2018
705046.891,3621606.729,109.023,79.023,2,8,1.5,32:54.0,11/29/2018
705046.67,3621606.347,108.203,78.125,2,8,1.5,32:54.1,11/29/2018
705046.372,3621605.834,108.633,79.453,2,8,1.5,32:54.3,11/29/2018
705046.006,3621605.203,108.594,78.594,2,8,1.5,32:54.5,11/29/2018
705045.604,3621604.515,108.477,78.398,2,8,1.5,32:54.7,11/29/2018
705045.337,3621604.057,108.477,78.789,2,8,1.5,32:54.9,11/29/2018
705045.011,3621603.497,109.336,77.617,2,8,1.5,32:55.1,11/29/2018
705044.64,3621602.861,109.57,78.125,2,8,1.5,32:55.3,11/29/2018
705044.23,3621602.153,109.062,77.07,2,8,1.5,32:55.5,11/29/2018
705043.978,3621601.708,108.984,76.875,2,8,1.5,32:55.6,11/29/2018
705043.672,3621601.167,107.969,77.539,2,8,1.5,32:55.8,11/29/2018
705043.279,3621600.47,106.953,75.898,2,8,1.5,32:56.1,11/29/2018
705043.021,3621600.013,106.055,75.977,2,8,1.5,32:56.2,11/29/2018
705042.65,3621599.357,105.938,75.977,2,8,1.5,32:56.4,11/29/2018
705042.372,3621598.873,107.188,77.07,2,8,1.5,32:56.6,11/29/2018
705042.01,3621598.246,108.398,77.5,2,8,1.5,32:56.8,11/29/2018
705041.677,3621597.668,108.945,76.172,2,8,1.5,32:57.0,11/29/2018
705041.31,3621597.033,109.688,76.875,2,8,1.5,32:57.2,11/29/2018
705041.037,3621596.561,110.078,78.438,2,8,1.5,32:57.3,11/29/2018
705040.737,3621596.007,110.703,78.594,2,8,1.5,32:57.5,11/29/2018
705040.436,3621595.39,111.172,78.789,2,8,1.5,32:57.7,11/29/2018
705040.12,3621594.74,111.211,79.336,2,8,1.5,32:57.9,11/29/2018
705039.881,3621594.249,111.836,79.648,2,8,1.5,32:58.1,11/29/2018
705039.519,3621593.506,112.227,78.633,2,8,1.5,32:58.3,11/29/2018
